instruction,selected_layer_mult_rs,selected_layer_adjust_rs,selected_layer_add_vector,task_matrix,instr_dir,avg_proj,add_vector_weight,avg_proj_no_instr
detectable_format:title,-1,-1,-1,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]",[0. 0. 0. ... 0. 0. 0.],tensor(0.),0.0,tensor(0.)
language:response_language_fa,-1,20,20,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[-0.00915922 -0.01246315  0.00956452 ... -0.01112643 -0.03281495
 -0.01549029]",tensor(32.5809),62.002864837646484,tensor(-29.4220)
change_case:english_capital,-1,28,28,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[-0.00449133 -0.03004136 -0.01246014 ... -0.00940315 -0.01375686
 -0.00419373]",tensor(44.0639),158.08731079101562,tensor(-114.0234)
change_case:capital_word_frequency,-1,18,18,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[-0.01436899 -0.01870719  0.01168585 ... -0.01142775  0.00303857
 -0.03002459]",tensor(14.6229),26.59012222290039,tensor(-11.9672)
detectable_format:constrained_response,-1,-1,-1,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]",[0. 0. 0. ... 0. 0. 0.],tensor(0.),0.0,tensor(0.)
language:response_language_sw,-1,20,20,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[-0.01505571 -0.00947321  0.0193513  ... -0.00918824 -0.04556768
 -0.01512989]",tensor(40.0297),77.16693115234375,tensor(-37.1372)
language:response_language_ru,-1,16,16,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[-0.0211056   0.00474638  0.02185049 ... -0.03091509 -0.03089852
 -0.04288615]",tensor(26.6236),33.624061584472656,tensor(-7.0005)
language:response_language_hi,16,22,22,"[[ 3.9426833e-03  1.5830896e-03 -2.8653133e-03 ... -9.0956729e-04
   1.3970745e-03  2.7982914e-03]
 [ 2.6143647e-03  7.7415546e-03  4.7564153e-03 ... -3.0816128e-03
  -1.6081099e-03  4.5389449e-03]
 [-2.2301662e-03  2.5564324e-04  4.4897231e-03 ...  5.6591682e-04
  -7.6193345e-04  1.0778147e-03]
 ...
 [ 5.1028462e-04 -2.2659549e-03 -1.4677722e-03 ...  7.7644787e-03
   1.1990870e-04 -7.8085490e-04]
 [-1.6376055e-03 -1.4361023e-03  2.6523978e-03 ... -3.2038181e-04
   2.5657204e-03 -1.5369679e-03]
 [ 2.6393344e-04  4.2761303e-03 -4.3538771e-06 ...  4.8642556e-04
  -1.9297645e-03  7.0546712e-03]]","[-0.04642676 -0.01168429  0.0021192  ...  0.00755916 -0.02996776
 -0.01178327]",tensor(88.9909),121.3039779663086,tensor(-32.3131)
language:response_language_gu,-1,-1,-1,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]",[0. 0. 0. ... 0. 0. 0.],tensor(0.),0.0,tensor(0.)
language:response_language_te,-1,-1,-1,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]",[0. 0. 0. ... 0. 0. 0.],tensor(0.),0.0,tensor(0.)
language:response_language_ar,-1,18,18,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[-0.0036375  -0.01637112  0.02018435 ... -0.03430079 -0.05332986
 -0.01240122]",tensor(14.6064),42.720909118652344,tensor(-28.1145)
language:response_language_ur,-1,28,28,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[-0.02833832  0.00089255  0.00926536 ... -0.0141436  -0.01941981
 -0.00740873]",tensor(209.3181),278.8263244628906,tensor(-69.5082)
language:response_language_de,-1,16,16,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 0. 1.]]","[-0.02411796 -0.00407453  0.02803987 ... -0.03512142 -0.05146614
 -0.0191322 ]",tensor(23.1787),28.500045776367188,tensor(-5.3214)
